ID,NAME,DATEADDED,LOCATION,MD5_HASH,SHA256_HASH,CUCKOO_ID,MALICIOUS,DOWNLOADED,CATEGORY
۲۸۹,86e0eac8c5ce70c4b839ef18af5231b5f92e292b81e440193cdbdc7ed108049f.bin,2021-08-27 20:46:40,Ransomwares/LucyLocker/LucyLocker_86e0eac8c5ce70c4b839ef18af5231b5f92e292b81e440193cdbdc7ed108049f.bin,c850f942ccf6e45230169cc4bd9eb5c8,86e0eac8c5ce70c4b839ef18af5231b5f92e292b81e440193cdbdc7ed108049f,۱۷۵,۱,۱,LucyLocker
۲۹۰,e435a95489a4ebdfdc12031091f92a7f9c5e3f6cc9b55355ee4030d82553e9ac.exe,2021-08-27 20:46:40,Ransomwares/MountLocker/MountLocker_e435a95489a4ebdfdc12031091f92a7f9c5e3f6cc9b55355ee4030d82553e9ac.exe,2f512bcf9d5fb1930365ecde38f683dc,e435a95489a4ebdfdc12031091f92a7f9c5e3f6cc9b55355ee4030d82553e9ac,۲۰۸,۱,۱,MountLocker
۳۰۳,5474b58de90ad79d6df4c633fb773053fecc16ad69fb5b86e7a2b640a2a056d6.exe,2021-08-27 20:46:40,Ransomwares/Matrix/Matrix_5474b58de90ad79d6df4c633fb773053fecc16ad69fb5b86e7a2b640a2a056d6.exe,504890ff01be54dfa0ce0b92624614a2,5474b58de90ad79d6df4c633fb773053fecc16ad69fb5b86e7a2b640a2a056d6,۱۷۹,۱,۱,Matrix
۳۰۴,7b5e536827c3bb9f8077aed78726585739bcde796904edd6c4faadc9a8d22eaf.exe,2021-08-27 20:46:40,Ransomwares/Matrix/Matrix_7b5e536827c3bb9f8077aed78726585739bcde796904edd6c4faadc9a8d22eaf.exe,9c872367555dcd5901651f9c768fca5b,7b5e536827c3bb9f8077aed78726585739bcde796904edd6c4faadc9a8d22eaf,۲۰۳,۱,۱,Matrix
۳۰۸,32eadf068d9d090fcf57145a09df4ce515c196387e409a01fbf052ff790879bf.exe,2021-08-27 20:46:40,Ransomwares/Dharma/Dharma_32eadf068d9d090fcf57145a09df4ce515c196387e409a01fbf052ff790879bf.exe,aedc3ee8df28aac5cea3328c83826971,32eadf068d9d090fcf57145a09df4ce515c196387e409a01fbf052ff790879bf,۱۱۳,۱,۱,Dharma
۳۰۹,3e7f30a802c595379ad3158ffe4ba5bc9e4a4d304430a2d846330adee70dc9a5.exe,2021-08-27 20:46:40,Ransomwares/Dharma/Dharma_3e7f30a802c595379ad3158ffe4ba5bc9e4a4d304430a2d846330adee70dc9a5.exe,a59d58c0d8e7d0baa3107eae0e1adbd7,3e7f30a802c595379ad3158ffe4ba5bc9e4a4d304430a2d846330adee70dc9a5,۱۳۰,۱,۱,Dharma
۳۱۰,b565c8e1e81796db13409f37e4bd28877272b5e54ab5c0a3d9b6a024e7f5a039.exe,2021-08-27 20:46:40,Ransomwares/Dharma/Dharma_b565c8e1e81796db13409f37e4bd28877272b5e54ab5c0a3d9b6a024e7f5a039.exe,0c4cbf1cb8e5065f8df8c8adc4f80e84,b565c8e1e81796db13409f37e4bd28877272b5e54ab5c0a3d9b6a024e7f5a039,۱۸۸,۱,۱,Dharma
۳۴۸,48689c986eb553e6a7aeba973501b9660cb1418d4ec3ba9d0511f82799d1422c.exe,2021-08-27 20:46:41,Ransomwares/Avaddon/Avaddon_48689c986eb553e6a7aeba973501b9660cb1418d4ec3ba9d0511f82799d1422c.exe,79cdf459683c39e9704a37a6be9bc877,48689c986eb553e6a7aeba973501b9660cb1418d4ec3ba9d0511f82799d1422c,۹۷,۱,۱,Avaddon
۳۴۹,e24f69aa8738d14b85ad76a1783d51120b8b6ba467190fe7d8f96ad2969c8fdf.exe,2021-08-27 20:46:41,Ransomwares/Avaddon/Avaddon_e24f69aa8738d14b85ad76a1783d51120b8b6ba467190fe7d8f96ad2969c8fdf.exe,ccede1200a6e8eff54a358fa1e6d119a,e24f69aa8738d14b85ad76a1783d51120b8b6ba467190fe7d8f96ad2969c8fdf,۱۲۲,۱,۱,Avaddon
۳۵۰,c14dd4a0831ea2548e1ddfd54b9704fe8ad0057924ede041c8c064b66690a028.exe,2021-08-27 20:46:41,Ransomwares/Avaddon/Avaddon_c14dd4a0831ea2548e1ddfd54b9704fe8ad0057924ede041c8c064b66690a028.exe,53717dc73f61b0f9551cb62d6fca2e4a,c14dd4a0831ea2548e1ddfd54b9704fe8ad0057924ede041c8c064b66690a028,۱۸۰,۱,۱,Avaddon
۳۵۳,Matsnu-MBRwipingRansomware_1B2D2A4B97C7C2727D571BBF9376F54F_Inkasso Rechnung vom 27.05.2013 .com_,2021-08-27 20:46:41,Ransomwares/Matsnu/Matsnu_Matsnu-MBRwipingRansomware_1B2D2A4B97C7C2727D571BBF9376F54F_Inkasso Rechnung vom 27.05.2013 .com_,1b2d2a4b97c7c2727d571bbf9376f54f,7634433f8fcf4d13fb46d680802e48eeb160e0f51e228cae058436845976381e,۲۰۴,۱,۱,Matsnu
۳۵۴,82385c5627675bb1a2f760238c766d1b8d3c31e109e067334959c084d62e5d55.exe,2021-08-27 20:46:41,Ransomwares/Pojie/Pojie_82385c5627675bb1a2f760238c766d1b8d3c31e109e067334959c084d62e5d55.exe,abec217429330d3c6cb587d614331bd8,82385c5627675bb1a2f760238c766d1b8d3c31e109e067334959c084d62e5d55,۲۱۵,۱,۱,Pojie
۳۵۵,43bbfb3389deb3846bba19a8ab2e9c8fd9b581720962b8170d4a63ad816b5804.exe,2021-08-27 20:46:41,Ransomwares/FuxSocy/FuxSocy_43bbfb3389deb3846bba19a8ab2e9c8fd9b581720962b8170d4a63ad816b5804.exe,99e9d08f5158274c3be9a6b3be8d4ce1,43bbfb3389deb3846bba19a8ab2e9c8fd9b581720962b8170d4a63ad816b5804,۱۳۸,۱,۱,FuxSocy
۳۵۶,d786355c1b3dc741103873aed46d8ffa3430d113a27482f37f3ffc7c978747f6.exe,2021-08-27 20:46:41,Ransomwares/FuxSocy/FuxSocy_d786355c1b3dc741103873aed46d8ffa3430d113a27482f37f3ffc7c978747f6.exe,481efd7b7bed17fde68f76d5f1e4b498,d786355c1b3dc741103873aed46d8ffa3430d113a27482f37f3ffc7c978747f6,۱۹۵,۱,۱,FuxSocy
